numBlocks,percentage,numCappReceivers,numDepositAddresses,numFalsePositives,fps
180,0.1,455,1532247,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.25,382,1248557,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.2,398,1273279,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.33,351,944320,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.4,326,909294,1,0xbbc79794599b19274850492394004087cbf89710
180,0.45,315,877004,1,0xbbc79794599b19274850492394004087cbf89710
180,0.6,256,707532,1,0xbbc79794599b19274850492394004087cbf89710
180,0.75,179,516069,0,
180,0.5,298,787820,1,0xbbc79794599b19274850492394004087cbf89710
360,0.1,598,1667921,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.2,547,1445537,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.25,530,1389250,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.33,497,1077596,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.4,461,1014740,1,0xbbc79794599b19274850492394004087cbf89710
360,0.45,429,972263,1,0xbbc79794599b19274850492394004087cbf89710
360,0.6,350,858110,1,0xbbc79794599b19274850492394004087cbf89710
360,0.75,245,612701,0,
360,0.5,412,947452,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.1,897,2458360,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.2,845,1910266,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.25,814,1774657,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.33,795,1674272,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.45,738,1285684,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.4,773,1380918,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
4320,0.6,674,1146686,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.75,547,968995,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.5,717,1265400,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.1,992,2538414,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.2,945,2068921,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.25,906,1900250,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.33,876,1831329,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.4,857,1489378,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.45,829,1429777,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
8640,0.6,745,1218509,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.75,619,1102183,1,0xbbc79794599b19274850492394004087cbf89710
8640,0.5,807,1368353,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.1,1128,2694067,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.2,1086,2335392,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.25,1053,2133660,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.33,1012,1960960,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.4,985,1661912,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.45,959,1550836,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
17280,0.6,876,1413385,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.75,724,1168980,1,0xbbc79794599b19274850492394004087cbf89710
17280,0.5,930,1486726,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.1,1241,2760179,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.2,1197,2430092,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.25,1165,2307434,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.33,1109,2021945,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.4,1088,1992097,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.45,1063,1624710,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
25920,0.6,971,1493528,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.75,814,1243987,1,0xbbc79794599b19274850492394004087cbf89710
25920,0.5,1028,1566884,1,0xbbc79794599b19274850492394004087cbf89710
34560,0.1,1316,2875355,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.2,1270,2550397,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.25,1242,2399968,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.33,1193,2157853,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.4,1155,2046845,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.45,1131,1756060,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
34560,0.6,1039,1559991,1,0xbbc79794599b19274850492394004087cbf89710
34560,0.75,873,1298449,1,0xbbc79794599b19274850492394004087cbf89710
34560,0.5,1099,1640299,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.1,1378,2918769,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.2,1337,2590265,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.25,1308,2474527,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.33,1263,2283425,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.4,1215,2129267,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.45,1188,1811666,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
43200,0.6,1093,1618231,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.75,935,1341630,1,0xbbc79794599b19274850492394004087cbf89710
43200,0.5,1158,1693346,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.1,1467,3005551,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.2,1425,2720701,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.25,1398,2626143,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.33,1349,2427444,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.4,1297,2232965,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.45,1263,1894218,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
60480,0.6,1176,1687698,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.75,1019,1444845,1,0xbbc79794599b19274850492394004087cbf89710
60480,0.5,1245,1852817,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.1,1426,2969555,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.2,1390,2688563,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.25,1353,2506200,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.33,1307,2387690,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.4,1259,2159669,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.45,1234,1849665,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
51840,0.6,1144,1659793,1,0xbbc79794599b19274850492394004087cbf89710
51840,0.75,984,1403101,1,0xbbc79794599b19274850492394004087cbf89710
51840,0.5,1209,1740649,1,0xbbc79794599b19274850492394004087cbf89710
